,Sno,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage
580,580,No,Yes,Yes,No,Yes,No,No,No
581,581,No,No,No,No,No,No,No,No
582,582,No,No,No,No,No,No,No,No
583,583,No,No,No,No,No,No,No,No
584,584,No,No,No,No,No,No,No,No
585,585,No,Yes,Yes,No,Yes,No,No,No
586,586,No,Yes,Yes,No,Yes,No,No,No
587,587,No,Yes,Yes,No,No,No,No,No
588,588,No,No,No,No,No,No,No,No
589,589,No,No,No,No,No,No,No,No
590,590,No,Yes,Yes,No,Yes,No,No,No
591,591,No,No,No,No,No,No,No,No
592,592,No,No,No,No,No,No,No,No
593,593,No,Yes,Yes,No,No,No,No,No
594,594,No,No,No,No,No,No,No,No
595,595,No,No,No,No,No,No,No,No
596,596,No,No,No,No,No,No,No,No
597,597,No,Yes,Yes,No,Yes,No,No,No
598,598,No,No,No,No,No,No,No,No
599,599,No,No,No,No,Yes,No,No,No
600,600,No,Yes,Yes,Yes,Yes,No,No,No
601,601,No,No,No,No,No,No,No,No
602,602,No,No,No,No,No,No,No,No
603,603,No,No,No,No,No,No,No,No
604,604,No,No,Yes,No,Yes,No,No,No
605,605,No,No,No,No,Yes,No,No,Yes
606,606,No,Yes,Yes,Yes,Yes,No,No,No
607,607,No,No,No,No,No,No,No,No
608,608,No,Yes,No,No,Yes,No,No,No
609,609,No,Yes,No,No,No,No,No,No
610,610,No,No,No,No,No,No,No,No
611,611,No,No,No,No,No,No,No,No
612,612,No,Yes,Yes,No,No,No,No,No
